source_serial_number,source_node_id,source_node_port,target_node_port,target_node_id,target_serial_number,cable_number
,QM9770-L_1,36,4,QM9770-S_1,,260
,QM9770-L_1,37,1,QM9770-S_2,,261
,QM9770-L_1,38,2,QM9770-S_2,,262
,QM9770-L_1,39,3,QM9770-S_2,,263
,QM9770-L_1,40,4,QM9770-S_2,,264
,QM9770-L_1,41,1,QM9770-S_3,,265
,QM9770-L_1,42,2,QM9770-S_3,,266
,QM9770-L_1,43,3,QM9770-S_3,,267
,QM9770-L_1,44,4,QM9770-S_3,,268
,QM9770-L_1,45,1,QM9770-S_4,,269
,QM9770-L_1,46,2,QM9770-S_4,,270
,QM9770-L_1,47,3,QM9770-S_4,,271
,QM9770-L_1,48,4,QM9770-S_4,,272
,QM9770-L_2,33,5,QM9770-S_1,,273
,QM9770-L_2,34,6,QM9770-S_1,,274
,QM9770-L_2,35,7,QM9770-S_1,,275
,QM9770-L_2,36,8,QM9770-S_1,,276
,QM9770-L_2,37,5,QM9770-S_2,,277
,QM9770-L_2,38,6,QM9770-S_2,,278
,QM9770-L_2,39,7,QM9770-S_2,,279
,QM9770-L_2,40,8,QM9770-S_2,,280
,QM9770-L_2,41,5,QM9770-S_3,,281
,QM9770-L_2,42,6,QM9770-S_3,,282
,QM9770-L_2,43,7,QM9770-S_3,,283
,QM9770-L_2,44,8,QM9770-S_3,,284
,QM9770-L_2,45,5,QM9770-S_4,,285
,QM9770-L_2,46,6,QM9770-S_4,,286
,QM9770-L_2,47,7,QM9770-S_4,,287
,QM9770-L_2,48,8,QM9770-S_4,,288
,QM9770-L_3,33,9,QM9770-S_1,,289
,QM9770-L_3,34,10,QM9770-S_1,,290
,QM9770-L_3,35,11,QM9770-S_1,,291
,QM9770-L_3,36,12,QM9770-S_1,,292
,QM9770-L_3,37,9,QM9770-S_2,,293
,QM9770-L_3,38,10,QM9770-S_2,,294
,QM9770-L_3,39,11,QM9770-S_2,,295
,QM9770-L_3,40,12,QM9770-S_2,,296
,QM9770-L_3,41,9,QM9770-S_3,,297
,QM9770-L_3,42,10,QM9770-S_3,,298
,QM9770-L_3,43,11,QM9770-S_3,,299
,QM9770-L_3,44,12,QM9770-S_3,,300
,QM9770-L_3,45,9,QM9770-S_4,,301
,QM9770-L_3,46,10,QM9770-S_4,,302
,QM9770-L_3,47,11,QM9770-S_4,,303
,QM9770-L_3,48,12,QM9770-S_4,,304
,QM9770-L_4,33,13,QM9770-S_1,,305
,QM9770-L_4,34,14,QM9770-S_1,,306
,QM9770-L_4,35,15,QM9770-S_1,,307
,QM9770-L_4,36,16,QM9770-S_1,,308
,QM9770-L_4,37,13,QM9770-S_2,,309
,QM9770-L_4,38,14,QM9770-S_2,,310
,QM9770-L_4,39,15,QM9770-S_2,,311
,QM9770-L_4,40,16,QM9770-S_2,,312
,QM9770-L_4,41,13,QM9770-S_3,,313
,QM9770-L_4,42,14,QM9770-S_3,,314
,QM9770-L_4,43,15,QM9770-S_3,,315
,QM9770-L_4,44,16,QM9770-S_3,,316
,QM9770-L_4,45,13,QM9770-S_4,,317
,QM9770-L_4,46,14,QM9770-S_4,,318
,QM9770-L_4,47,15,QM9770-S_4,,319
,QM9770-L_4,48,16,QM9770-S_4,,320
,QM9770-L_5,33,17,QM9770-S_1,,321
,QM9770-L_5,34,18,QM9770-S_1,,322
,QM9770-L_5,35,19,QM9770-S_1,,323
,QM9770-L_5,36,20,QM9770-S_1,,324
,QM9770-L_5,37,17,QM9770-S_2,,325
,QM9770-L_5,38,18,QM9770-S_2,,326
,QM9770-L_5,39,19,QM9770-S_2,,327
,QM9770-L_5,40,20,QM9770-S_2,,328
,QM9770-L_5,41,17,QM9770-S_3,,329
,QM9770-L_5,42,18,QM9770-S_3,,330
,QM9770-L_5,43,19,QM9770-S_3,,331
,QM9770-L_5,44,20,QM9770-S_3,,332
,QM9770-L_5,45,17,QM9770-S_4,,333
,QM9770-L_5,46,18,QM9770-S_4,,334
,QM9770-L_5,47,19,QM9770-S_4,,335
,QM9770-L_5,48,20,QM9770-S_4,,336
,QM9770-L_6,33,21,QM9770-S_1,,337
,QM9770-L_6,34,22,QM9770-S_1,,338
,QM9770-L_6,35,23,QM9770-S_1,,339
,QM9770-L_6,36,24,QM9770-S_1,,340
,QM9770-L_6,37,21,QM9770-S_2,,341
,QM9770-L_6,38,22,QM9770-S_2,,342
,QM9770-L_6,39,23,QM9770-S_2,,343
,QM9770-L_6,40,24,QM9770-S_2,,344
,QM9770-L_6,41,21,QM9770-S_3,,345
,QM9770-L_6,42,22,QM9770-S_3,,346
,QM9770-L_6,43,23,QM9770-S_3,,347
,QM9770-L_6,44,24,QM9770-S_3,,348
,QM9770-L_6,45,21,QM9770-S_4,,349
,QM9770-L_6,46,22,QM9770-S_4,,350
,QM9770-L_6,47,23,QM9770-S_4,,351
,QM9770-L_6,48,24,QM9770-S_4,,352
,QM9770-L_7,33,25,QM9770-S_1,,353
,QM9770-L_7,34,26,QM9770-S_1,,354
,QM9770-L_7,35,27,QM9770-S_1,,355
,QM9770-L_7,36,28,QM9770-S_1,,356
,QM9770-L_7,37,25,QM9770-S_2,,357
,QM9770-L_7,38,26,QM9770-S_2,,358
,QM9770-L_7,39,27,QM9770-S_2,,359
,QM9770-L_7,40,28,QM9770-S_2,,360
,QM9770-L_7,41,25,QM9770-S_3,,361
,QM9770-L_7,42,26,QM9770-S_3,,362
,QM9770-L_7,43,27,QM9770-S_3,,363
,QM9770-L_7,44,28,QM9770-S_3,,364
,QM9770-L_7,45,25,QM9770-S_4,,365
,QM9770-L_7,46,26,QM9770-S_4,,366
,QM9770-L_7,47,27,QM9770-S_4,,367
,QM9770-L_7,48,28,QM9770-S_4,,368
,QM9770-L_8,33,29,QM9770-S_1,,369
,QM9770-L_8,34,30,QM9770-S_1,,370
,QM9770-L_8,35,31,QM9770-S_1,,371
,QM9770-L_8,36,32,QM9770-S_1,,372
,QM9770-L_8,37,29,QM9770-S_2,,373
,QM9770-L_8,38,30,QM9770-S_2,,374
,QM9770-L_8,39,31,QM9770-S_2,,375
,QM9770-L_8,40,32,QM9770-S_2,,376
,QM9770-L_8,41,29,QM9770-S_3,,377
,QM9770-L_8,42,30,QM9770-S_3,,378
,QM9770-L_8,43,31,QM9770-S_3,,379
,QM9770-L_8,44,32,QM9770-S_3,,380
,QM9770-L_8,45,29,QM9770-S_4,,381
,QM9770-L_8,46,30,QM9770-S_4,,382
,QM9770-L_8,47,31,QM9770-S_4,,383
,QM9770-L_8,48,32,QM9770-S_4,,384
